Entidad,Sexo,Puesto,minutos_app,total_encuestas,total_asist,Fecha
Nuevo León,Mujer,Enfermera/o,2.5,0,7,2024-07-08
Sonora,Mujer,Administrativa/o,0.0,0,0,2024-07-08
Sonora,Mujer,Médica/o residente,120.0,0,5,2024-07-08
AtentaMente,Mujer,Otro (Especifique),655.3,0,9,2024-07-08
Oaxaca,Mujer,Pasante,68.9,0,6,2024-07-08
Coahuila,Mujer,"Coordinador/a, Responsable O Supervisión De Área",300.0,0,9,2024-07-08
Querétaro,Sin dato,Odontóloga/o,34.3,6,6,2024-07-08
Coahuila,Mujer,Pasante,0.0,0,0,2024-07-08
Querétaro,Mujer,Administrativa/o,0.0,0,2,2024-07-08
Querétaro,Mujer,Otro (Especifique),649.7,0,9,2024-07-08
Querétaro,Mujer,Química/o,648.5,0,9,2024-07-08
Coahuila,Mujer,Administrativa/o,612.9,0,9,2024-07-08
Nuevo León,Mujer,Nutrióloga/o,31.8,0,8,2024-07-08
Coahuila,Mujer,Administrativa/o,452.6,0,9,2024-07-08
Sonora,Mujer,Psicóloga/o,0.0,0,1,2024-07-08
Sonora,Mujer,Estudiante de medicina,682.2,0,8,2024-07-08
Jalisco,Mujer,"Coordinador/a, Responsable O Supervisión De Área",808.6,0,9,2024-07-08
Nuevo León,Mujer,Médica/o,0.0,0,0,2024-07-08
Coahuila,Mujer,Personal Directivo,0.0,0,0,2024-07-08
Oaxaca,Mujer,Administrativa/o,47.9,0,7,2024-07-08
Coahuila,Sin dato,Sin dato,240.6,0,2,2024-07-08
Coahuila,Sin dato,Sin dato,127.1,0,3,2024-07-08
Campeche,Mujer,Personal Directivo,0.0,5,5,2024-07-08
Campeche,Sin dato,Enfermera/o,0.0,5,3,2024-07-08
Campeche,Mujer,Personal Directivo,0.0,0,0,2024-07-08
Coahuila,Sin dato,Estudiante de medicina,217.6,0,5,2024-07-08
Sonora,Mujer,Estudiante de medicina,419.3,0,9,2024-07-08
Querétaro,Mujer,Enfermera/o,0.0,0,1,2024-07-08
Sonora,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Oaxaca,Mujer,Otro (Especifique),397.4,0,9,2024-07-08
Nuevo León,Sin dato,Médica/o,1283.2,7,9,2024-07-08
Sonora,Mujer,Enfermera/o,138.1,0,9,2024-07-08
Jalisco,Mujer,Química/o,0.0,0,1,2024-07-08
Coahuila,Mujer,Enfermera/o,68.7,0,1,2024-07-08
Coahuila,Sin dato,Sin dato,24.8,0,6,2024-07-08
Querétaro,Mujer,Enfermera/o,1.3,0,3,2024-07-08
Sonora,Mujer,Enfermera/o,0.0,0,1,2024-07-08
Campeche,Mujer,Otro (Especifique),1044.4,0,9,2024-07-08
Sonora,Mujer,Estudiante de medicina,279.5,0,8,2024-07-08
Jalisco,Sin dato,Administrativa/o,11.7,7,1,2024-07-08
Jalisco,Mujer,Estudiante de medicina,11.7,0,8,2024-07-08
Querétaro,Mujer,Médica/o,14.9,0,3,2024-07-08
Querétaro,Mujer,Odontóloga/o,483.2,0,8,2024-07-08
Sonora,Mujer,Estudiante de medicina,689.7,0,9,2024-07-08
Sonora,Mujer,Estudiante de medicina,0.0,0,0,2024-07-08
Oaxaca,Mujer,Médica/o,0.0,0,6,2024-07-08
Coahuila,Sin dato,Sin dato,646.3,0,8,2024-07-08
Querétaro,Hombre,Pasante,0.0,0,0,2024-07-08
Coahuila,Sin dato,Sin dato,0.0,0,1,2024-07-08
Querétaro,Sin dato,Sin dato,0.0,0,0,2024-07-08
Sonora,Mujer,Odontóloga/o,0.0,0,3,2024-07-08
Oaxaca,Mujer,Estudiante de medicina,0.0,0,1,2024-07-08
Colombia,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-08
Sonora,Hombre,Estudiante de medicina,11.8,0,8,2024-07-08
Coahuila,Sin dato,Sin dato,0.0,0,3,2024-07-08
Querétaro,Hombre,Médica/o,0.0,0,1,2024-07-08
Nuevo León,Sin dato,Administrativa/o,0.0,4,1,2024-07-08
Nuevo León,Hombre,Pasante,475.4,0,9,2024-07-08
Querétaro,Mujer,Administrativa/o,0.0,0,0,2024-07-08
Sonora,Mujer,Promotor/a En Salud,626.4,0,9,2024-07-08
Oaxaca,Mujer,Sin dato,0.0,0,0,2024-07-08
Querétaro,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Sonora,Hombre,Enfermera/o,379.3,0,8,2024-07-08
Coahuila,Hombre,Enfermera/o,1.1,0,2,2024-07-08
Nuevo León,Sin dato,Psicóloga/o,0.0,7,9,2024-07-08
Coahuila,Sin dato,Sin dato,0.0,0,2,2024-07-08
Coahuila,Hombre,Interna/o,0.0,0,3,2024-07-08
Nuevo León,Sin dato,Otro,380.8,7,9,2024-07-08
Oaxaca,Mujer,Enfermera/o,848.3,0,9,2024-07-08
Coahuila,Sin dato,Administrativa/o,0.0,6,6,2024-07-08
Oaxaca,Hombre,Administrativa/o,0.0,0,0,2024-07-08
Sonora,Hombre,Estudiante de medicina,0.0,0,1,2024-07-08
Nuevo León,Sin dato,Administrativa/o,5.9,5,1,2024-07-08
Oaxaca,Mujer,Médica/o,0.0,0,1,2024-07-08
Nuevo León,Mujer,Volunaria/o,0.0,0,0,2024-07-08
Coahuila,Sin dato,Sin dato,521.3,0,8,2024-07-08
Campeche,Hombre,Médica/o,0.0,0,1,2024-07-08
Coahuila,Hombre,Enfermera/o,0.0,0,0,2024-07-08
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-08
Oaxaca,Mujer,Enfermera/o,0.0,0,1,2024-07-08
Oaxaca,Sin dato,Médica/o,511.6,7,7,2024-07-08
Sonora,Mujer,Enfermera/o,0.0,0,2,2024-07-08
SIMI,Mujer,Psicóloga/o,11.7,0,3,2024-07-08
Nuevo León,Hombre,Otro (Especifique),0.0,0,0,2024-07-08
Campeche,Mujer,Médica/o,0.0,0,0,2024-07-08
Coahuila,Sin dato,Sin dato,0.2,0,3,2024-07-08
Guanajuato,Mujer,Enfermera/o,0.0,0,1,2024-07-08
Sonora,Hombre,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,1,2024-07-08
Oaxaca,Sin dato,Pasante,0.0,7,1,2024-07-08
Querétaro,Mujer,Enfermera/o,860.2,0,9,2024-07-08
Coahuila,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,1,2024-07-08
Coahuila,Mujer,Administrativa/o,110.2,0,2,2024-07-08
Oaxaca,Sin dato,Pasante,167.3,7,8,2024-07-08
Nuevo León,Mujer,"Coordinador/a, responsable o supervisión de área",0.0,0,0,2024-07-08
Campeche,Mujer,Administrativa/o,520.4,0,9,2024-07-08
Sonora,Prefiero No Contestar,Psicóloga/o,139.9,0,7,2024-07-08
Oaxaca,Sin dato,Pasante,2.3,7,0,2024-07-08
Nuevo León,Mujer,Estudiante de medicina,137.9,0,5,2024-07-08
Sonora,Sin dato,Administrativa/o,108.0,7,7,2024-07-08
Oaxaca,Mujer,Administrativa/o,648.4,0,9,2024-07-08
Nuevo León,Sin dato,Enfermera/o,4.6,7,7,2024-07-08
Jalisco,Mujer,Médica/o,785.4,0,9,2024-07-08
Oaxaca,Mujer,Enfermera/o,678.9,0,9,2024-07-08
Oaxaca,Sin dato,Pasante,0.0,7,0,2024-07-08
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,3,2024-07-08
Oaxaca,Mujer,Administrativa/o,42.9,0,1,2024-07-08
Querétaro,Mujer,Trabajador/a social,0.0,0,6,2024-07-08
Oaxaca,Mujer,Médica/o,0.0,0,0,2024-07-08
Querétaro,Mujer,Pasante,5.7,0,0,2024-07-08
Oaxaca,Sin dato,Pasante,0.0,7,0,2024-07-08
Guanajuato,Mujer,Enfermera/o,55.5,0,5,2024-07-08
Campeche,Mujer,Interna/o,0.0,0,0,2024-07-08
Campeche,Hombre,Sin dato,0.0,0,0,2024-07-08
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Oaxaca,Mujer,Sin dato,0.0,0,0,2024-07-08
Coahuila,Sin dato,Enfermera/o,0.1,7,7,2024-07-08
Oaxaca,Mujer,Promotor/a En Salud,0.0,0,0,2024-07-08
Sonora,Sin dato,Sin dato,807.2,0,9,2024-07-08
Oaxaca,Mujer,Personal Directivo,307.9,0,9,2024-07-08
Oaxaca,Mujer,Administrativa/o,0.0,0,1,2024-07-08
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",0.0,7,7,2024-07-08
Querétaro,Sin dato,Pasante,0.0,7,3,2024-07-08
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Campeche,Hombre,Administrativa/o,140.6,0,8,2024-07-08
Sonora,Sin dato,Psicóloga/o,0.2,4,3,2024-07-08
Colombia,Hombre,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,2,2024-07-08
Oaxaca,Hombre,Médica/o,11.7,0,2,2024-07-08
Coahuila,Sin dato,Estudiante de medicina,65.2,0,8,2024-07-08
Campeche,Hombre,Interna/o,0.0,0,0,2024-07-08
Campeche,Mujer,"Coordinador/a, Responsable O Supervisión De Área",68.4,0,6,2024-07-08
Campeche,Sin dato,Psicóloga/o,558.7,7,9,2024-07-08
Coahuila,Hombre,Pasante,0.0,0,1,2024-07-08
Sonora,Hombre,Psicóloga/o,0.0,0,0,2024-07-08
Nuevo León,Mujer,Médica/o,0.0,0,0,2024-07-08
Querétaro,Hombre,Docente,11.8,0,1,2024-07-08
Sonora,Hombre,Enfermera/o,669.2,0,9,2024-07-08
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-08
Coahuila,Sin dato,Nutrióloga/o,587.9,7,9,2024-07-08
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-08
Sonora,Hombre,Pasante,8.7,0,0,2024-07-08
Nuevo León,Sin dato,Administrativa/o,675.6,7,9,2024-07-08
Campeche,Sin dato,"Coordinador/a, responsable o supervisión de área",0.0,7,8,2024-07-08
Sonora,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Campeche,Hombre,"Coordinador/a, responsable o supervisión de área",498.1,0,9,2024-07-08
Querétaro,Mujer,Administrativa/o,0.0,0,0,2024-07-08
Coahuila,Mujer,Administrativa/o,0.0,0,0,2024-07-08
Sonora,Sin dato,Camillero,0.0,6,1,2024-07-08
Estado De México,Mujer,Personal Administrativo O De Apoyo,199.0,0,9,2024-07-08
Campeche,Mujer,Administrativa/o,1041.1,0,9,2024-07-08
Querétaro,Mujer,Enfermera/o,0.0,0,2,2024-07-08
Oaxaca,Mujer,Administrativa/o,0.0,0,0,2024-07-08
Campeche,Hombre,Enfermera/o,0.0,0,0,2024-07-08
Campeche,Mujer,Trabajador/a social,0.0,0,0,2024-07-08
Coahuila,Sin dato,Personal directivo,1338.3,7,9,2024-07-08
Querétaro,Mujer,Médica/o residente,12.4,0,0,2024-07-08
Coahuila,Sin dato,Administrativa/o,430.5,7,9,2024-07-08
Oaxaca,Hombre,Promotor/a En Salud,35.1,0,2,2024-07-08
Coahuila,Sin dato,Sin dato,0.0,0,1,2024-07-08
Coahuila,Mujer,Pasante,0.0,0,0,2024-07-08
Coahuila,Hombre,Psicóloga/o,124.3,0,9,2024-07-08
Campeche,Mujer,Enfermera/o,653.9,0,9,2024-07-08
AtentaMente,Mujer,Otro (Especifique),0.0,0,2,2024-07-08
Nuevo León,Sin dato,Personal directivo,467.3,7,8,2024-07-08
Sonora,Mujer,Enfermera/o,58.9,0,9,2024-07-08
Querétaro,Mujer,Médica/o,776.3,0,8,2024-07-08
Oaxaca,Mujer,Médica/o,118.3,0,6,2024-07-08
Sonora,Mujer,Médica/o residente,0.0,0,0,2024-07-08
Oaxaca,Mujer,Enfermera/o,67.2,0,5,2024-07-08
Querétaro,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,1,2024-07-08
Querétaro,Mujer,Administrativa/o,680.4,0,9,2024-07-08
Oaxaca,Hombre,Enfermera/o,1050.9,0,7,2024-07-08
Querétaro,Sin dato,Sin dato,0.0,0,1,2024-07-08
Sonora,Sin dato,Pasante,0.0,7,0,2024-07-08
Nuevo León,Mujer,Pasante,0.0,0,0,2024-07-08
Nuevo León,Mujer,Médica/o,921.5,0,9,2024-07-08
